name	id	category	site_type	status	principal_figure	figure_type	silsila	year_built	year_built_precision	year_built_note	figure_born	figure_died	event_year	event_note	events	flags
Shree Ratneshwar Mahadev Temple, Karachi	shree-ratneshwar-mahadev-temple-karachi	Hindu Temple	Cave shrine	Active	Shiva (Mahadev)	Deity		1725	century	Reputedly 300+ years old					Maha Shivratri (principal festival)	EVENTS_FILLED
Shri Laxmi Narayan Mandir (Native Jetty Bridge)	shri-laxmi-narayan-mandir-native-jetty-bridge	Hindu Temple	Temple	Active	Lakshmi-Narayan	Deity		1825	circa	Reputedly c. 200 years old					Ganesh Chaturthi; Holi; Raksha Bandhan; asthi visarjan rites	EVENTS_FILLED
Shri Panchmukhi Hanuman Mandir (Karachi)	shri-panchmukhi-hanuman-mandir-karachi	Hindu Temple	Temple	Active	Hanuman (Panchmukhi)	Deity			unknown	Traditional claim of c. 1,500 years; unverified. Renovated 2012					Hanuman Jayanti; Holi; Diwali	EVENTS_FILLED
Shri Swaminarayan Mandir, Karachi	shri-swaminarayan-mandir-karachi	Hindu Temple	Complex	Active	Bhagwan Swaminarayan	Deity		1849	circa	Mid-19th c.					Janmashtami; Holi; Diwali	EVENTS_FILLED
Shri Varun Dev Mandir	shri-varun-dev-mandir	Hindu Temple	Temple	Ruin	Varuna (Varun Dev)	Deity		1917	circa	Current structure c. 1917-18; tilework c. 1937-40					None - derelict; conservation appeals ongoing	EVENTS_FILLED
Shrine at Odero Lal (Udero Lal Teerath Asthan)	shrine-at-odero-lal-udero-lal-teerath-asthan	Hindu Temple	Complex	Active	Sheikh Tahir / Udero Lal (Jhulelal)	Deity		1684	exact	Shared Hindu-Muslim sanctuary					Cheti Chand; shared Hindu and Muslim observance year-round	EVENTS_FILLED
Shrine of Abdullah Shah Ghazi	shrine-of-abdullah-shah-ghazi	Muslim Shrine	Dargah/Mazar	Active	Abdullah Shah Ghazi	Sufi saint		773	circa	Green dome rebuilt after the 2010 bombing		773			Annual urs; Thursday-evening qawwali and dhamal	DATE_SPLIT
Shrine of Abul Faiz Qalander Ali Suharwardi	abul-faiz-qalander-ali-suharwardi	Muslim Shrine	Complex	Active	Sayyid Abul Faiz Qalandar Ali Gilani Suhrawardi	Sufi saint	Suhrawardi	1958	exact	Shrine raised at burial; family-held, not Auqaf	1885	1958			Annual urs (11-12 Rabi al-Awwal); weekly Sunday milad; daily langar	NAME_SPELLING;DATE_SPLIT;EVENTS_FILLED
Shrine of Akhund Darweza Baba	shrine-of-akhund-darweza-baba	Muslim Shrine	Dargah/Mazar	Active	Akhund Darweza (Syed Muhammad)	Sufi saint			unknown	Buried in the Hazarkhwani graveyard	1533	1638			Pilgrimage to the tomb; visited year-round	DATE_SPLIT
Shrine of Akhund Panju Baba	shrine-of-akhund-panju-baba	Muslim Shrine	Complex	Active	Hazrat Syed Abdul Wahab (Akhund Panju Baba)	Sufi saint		1600	century	Mughal-era mosque, c. 400 years old					Annual urs; large gatherings of devotees	
Shrine of Baba Shah Chiragh	shrine-of-baba-shah-chiragh	Muslim Shrine	Mausoleum/Memorial	Active	Syed Abdul Razzaq (Shah Chiragh)	Sufi saint	Qadiri	1660	circa	Built by order of Aurangzeb; mosque added 1716		1657			No confirmed annual urs date documented	DATE_SPLIT
Shrine of Baba Shah Kamal	shrine-of-baba-shah-kamal	Muslim Shrine	Dargah/Mazar	Active	Hazrat Baba Shah Kamal	Sufi saint	Qadiri	1650	century	17th c.					Annual urs; weekly Thursday devotional gathering	
Shrine of Bahauddin Zakariya	shrine-of-bahauddin-zakariya	Muslim Shrine	Mausoleum/Memorial	Active	Bahauddin Zakariya	Sufi saint	Suhrawardi	1267	circa	Built 13th c.; sheet value 1167 preceded the saint's birth	1170	1267			Annual urs; qawwali; daily langar	DATE_CORRECTED
Shrine of Bibi Pak Daman	bibi-pak-daman	Muslim Shrine	Complex	Active	The six Bibis (Bibi Pak Daman)	Collective			unknown	Rebuilt many times; most recent renovation 2024					Annual urs; Thursday-night gathering; Muharram observances (peak attendance)	EVENTS_FILLED
Shrine of Fariduddin Ganjshakar	shrine-of-fariduddin-ganjshakar	Muslim Shrine	Complex	Active	Baba Fariduddin Mas'ud Ganjshakar	Sufi saint	Chishti	1280	circa		1173	1266			Annual urs (Muharram) with the opening of the Bahishti Darwaza; qawwali; langar	DATE_SPLIT;EVENTS_FILLED
Shrine of Ganj e Inayat Sarkar	ganj-e-inayat-sarkar	Muslim Shrine	Complex	Active	Pir Muhammad Inayat Ahmad Naqshbandi Mujaddidi	Sufi saint	Naqshbandi-Mujaddidi	2011	exact	Shrine founded at burial; mosque built 1969	1937	2011			Annual urs (27-28 Sha'ban); weekly Saturday gathering; langar	DATE_SPLIT;EVENTS_FILLED
Shrine of Hafiz Muhammad Jamal Multani	shrine-of-hafiz-muhammad-jamal-multani	Muslim Shrine	Mausoleum/Memorial	Active	Hafiz Muhammad Jamal Multani	Sufi saint	Chishti	1811	circa	Preserves original Mughal-era wall paintings	1747	1811			Annual urs	DATE_SPLIT
Shrine of Hazrat Madho Lal Hussain (Shah Hussain Darbar)	madho-lal-hussain	Muslim Shrine	Complex	Active	Shah Hussain (Madho Lal Hussain)	Sufi saint	Malamati	2011	exact	Most recent reconstruction 2011 by Punjab Auqaf	1538	1599			Mela Chiraghan / annual urs (9-11 Shawwal); Thursday-evening lamp-lighting, dhamal and qawwali	EVENTS_FILLED;DATE_SPLIT
Shrine of Hazrat Muhammad Ayub Shah Bukhari	shrine-of-hazrat-muhammad-ayub-shah-bukhari	Muslim Shrine	Dargah/Mazar	Active	Hazrat Muhammad Ayub Shah Bukhari	Sufi saint	Suhrawardi		unknown	Dates uncertain					Annual urs	COORD_DUPLICATE
Shrine of Hazrat Shah Ali Akbar (Shah Ali Akbar Shamsi)	shrine-of-hazrat-shah-ali-akbar-shah-ali-akbar-shamsi	Muslim Shrine	Mausoleum/Memorial	Active	Hazrat Shah Ali Akbar Shamsi	Sufi saint		1585	exact	993 AH; took c. 15 years to complete					Annual urs	
Shrine of Hazrat Shah Daula Daryai	shrine-of-hazrat-shah-daula-daryai	Muslim Shrine	Complex	Active	Hazrat Shah Daula Daryai	Sufi saint	Suhrawardi	1650	century	17th c.; substantially rebuilt 1898	1581	1675			Annual three-day urs (Auqaf-administered); langar	DATE_SPLIT;EVENTS_FILLED
Shrine of Imam Ali-ul-Haq	shrine-of-imam-ali-ul-haq	Muslim Shrine	Complex	Active	Hazrat Imam Ali-ul-Haq (Imam Sahib)	Sufi saint		1300	century	Dating disputed by 3-4 centuries across sources					Annual urs; devotional music and langar	
Shrine of Jalaluddin Surkh-Posh Bukhari (Jalaluddin Bukhari)	shrine-of-jalaluddin-surkh-posh-bukhari-jalaluddin-bukhari	Muslim Shrine	Complex	Active	Sayyid Jalaluddin Surkh-Posh Bukhari	Sufi saint	Suhrawardi	1670	exact	Rebuilt 1670	1192	1291			Annual urs; qawwali; langar	DATE_SPLIT;EVENTS_FILLED
Shrine of Lakhi Shah Saddar	shrine-of-lakhi-shah-saddar	Muslim Shrine	Dargah/Mazar	Active	Syed Shah Sadaruddin Lakyari (Lakhi Shah Saddar)	Sufi saint			unknown	Dates not securely established					Annual urs; ritual bathing in the Laki hot springs	
Shrine of Makhdoom Abdul Rahim Girhori	shrine-of-makhdoom-abdul-rahim-girhori	Muslim Shrine	Khanqah	Active	Makhdoom Abdul Rahim Girhori	Sufi saint	Naqshbandi		unknown	Khanqah established at Girhor	1739	1778			Annual urs; visited by both Muslims and Hindus	DATE_SPLIT
Shrine of Makhdoom Jahaniyan Jahangasht	shrine-of-makhdoom-jahaniyan-jahangasht	Muslim Shrine	Complex	Active	Sayyid Jalaluddin (Makhdoom Jahaniyan Jahangasht)	Sufi saint	Suhrawardi		unknown	Shrine developed after the saint's death	1308	1384			Annual urs; qawwali; langar	DATE_SPLIT;EVENTS_FILLED
Shrine of Makhdoom Nooh (Hala)	shrine-of-makhdoom-nooh-hala	Muslim Shrine	Dargah/Mazar	Active	Makhdoom Nooh (Makhdoom Lutufullah)	Sufi saint	Suhrawardi	1777	exact	Remains relocated twice by the shifting Indus; present site 1777	1500	1590			Annual urs	DATE_SPLIT
Shrine of Mauj Darya Bukhari	shrine-of-mauj-darya-bukhari	Muslim Shrine	Mausoleum/Memorial	Active	Hazrat Meeran Muhammad Shah Bukhari (Mauj Darya)	Sufi saint	Suhrawardi	1604	exact	Octagonal plan; mosque and langar khana demolished 2018 for the Orange Line	1533	1604			Annual urs (17-19 Rabi al-Awwal); weekly Thursday milad; Mela Chiraagha	DATE_SPLIT
Shrine of Mian Mir	shrine-of-mian-mir	Muslim Shrine	Complex	Active	Mian Mir (Mir Mohammad of Sind)	Sufi saint	Qadiri	1640	circa	Mausoleum raised after the saint's death, during Dara Shikoh's lifetime	1550	1635			Annual urs (7 February); Thursday-evening qawwali; daily langar	DATE_SPLIT;EVENTS_FILLED;FIELD_PHOTOS_MISSING
Shrine of Mian Umar Baba (Chamkani)	shrine-of-mian-umar-baba-chamkani	Muslim Shrine	Khanqah	Active	Mian Muhammad Umar Chamkani	Sufi saint	Naqshbandi		unknown	Tomb and khanqah at Chamkani	1671	1776			Annual urs (first Wednesday and Thursday of Rajab); langar	DATE_SPLIT
Shrine of Miran Hussain Zanjani (Zanjani Sahib)	shrine-of-miran-hussain-zanjani-zanjani-sahib	Muslim Shrine	Dargah/Mazar	Active	Syed Miran Hussain Zanjani	Sufi saint			unknown	Raised platform, no dome	958	1042			Annual urs (autumn)	DATE_SPLIT
Shrine of Peer Makki	peer-makki	Muslim Shrine	Complex	Active	Hazrat Syed Azizuddin al-Hassani wal-Hussaini (Peer Makki)	Sufi saint			unknown	Shrine complex includes the Hazrat Pir Makki Masjid	1132	1215			Annual urs (9-11 Rabi al-Awwal); Thursday-night gatherings; dhamal and qawwali	DATE_SPLIT;EVENTS_FIXED
Shrine of Pir Baba (Syed Ali Tirmizi)	shrine-of-pir-baba-syed-ali-tirmizi	Muslim Shrine	Complex	Active	Syed Ali Tirmizi (Pir Baba)	Sufi saint		1600	century	Shrine developed after 1583; mosque c. 1938-1965	1502	1583			Annual urs (24-26 Rajab)	DATE_SPLIT
Shrine of Pir Chhatal Shah Noorani	shrine-of-pir-chhatal-shah-noorani	Muslim Shrine	Dargah/Mazar	Active	Pir Chhatal Shah Noorani	Sufi saint			unknown	Recorded as a domed gumbaz in 1831; dome since collapsed					Visited year-round by Muslim and Hindu pilgrims; no fixed urs recorded	
Shrine of Pir Lakha (Aab-e-Shifa), Jhal Magsi	shrine-of-pir-lakha-aab-e-shifa-jhal-magsi	Muslim Shrine	Dargah/Mazar	Active	Pir Lakha	Sufi saint			unknown	Undocumented					Year-round pilgrimage; ritual bathing in the hot springs	
Shrine of Pir Mangho	shrine-of-pir-mangho	Muslim Shrine	Complex	Active	Pir Mangho (Haji Syed Sakhi Sultan)	Sufi saint		773	circa	Sacred crocodile pool and sulphur springs					Annual urs; Sheedi Mela (drumming, dance, offerings to the crocodiles)	
Shrine of Pir Sher Muhammad	shrine-of-pir-sher-muhammad	Muslim Shrine	Khanqah	Active	Mian Pir Sher Muhammad Sharaqpuri	Sufi saint	Qadiri	1928	exact		1865	1928			Annual urs; naat and qawwali; daily langar	DATE_SPLIT
Shrine of Qalandar Baba Auliya	shrine-of-qalandar-baba-auliya	Muslim Shrine	Dargah/Mazar	Active	Sayyid Muhammad Azeem Barkhiya (Qalandar Baba Auliya)	Sufi saint	Azeemia	1979	exact	Centre of the Azeemia order	1898	1979			Annual urs	DATE_SPLIT
Shrine of Sachal Sarmast	shrine-of-sachal-sarmast	Muslim Shrine	Complex	Active	Sachal Sarmast (Abdul Wahab Faruqi)	Sufi saint		1829	exact	Blue kashi tilework	1739	1827			Annual urs; poetry, music and dhamal	DATE_SPLIT;NO_VERSE
Shrine of Shah Abdul Karim Bulri	shrine-of-shah-abdul-karim-bulri	Muslim Shrine	Complex	Active	Shah Abdul Karim Bulri	Sufi saint		1741	exact	1154 AH; three-domed mosque	1536	1623			Annual urs	DATE_SPLIT
Shrine of Shah Inayat Qadiri	shrine-of-shah-inayat-qadiri	Muslim Shrine	Complex	Active	Shah Inayat Qadiri	Sufi saint	Qadiri		unknown	Murshid of Bulleh Shah; buried with two sons	1643	1728			Annual urs (25-27 Jamadi al-Thani); zikr, qawwali and langar	DATE_SPLIT
Shrine of Shah Jamal	shah-jamal	Muslim Shrine	Complex	Active	Syed Shah Jamal Uddin Naqvi Bukhari	Sufi saint	Suhrawardi		unknown	Tomb enclosed within a modern single-domed mosque	1587	1671			Annual urs (3-5 Rabi al-Thani); weekly Thursday-night dhamal	DATE_SPLIT
Shrine of Shah Rukn-e-Alam	shrine-of-shah-rukn-e-alam	Muslim Shrine	Mausoleum/Memorial	Active	Shah Rukn-e-Alam (Rukn-ud-Din Abul Fath)	Sufi saint	Suhrawardi	1330	circa	Early 14th c. Tughluq style; sheet value 1235 unsupported	1251	1335			Annual urs; qawwali; daily langar	DATE_CORRECTED
Shrine of Shah Shams-ud-Din Sabzwari	shrine-of-shah-shams-ud-din-sabzwari	Muslim Shrine	Dargah/Mazar	Active	Shah Shams-ud-Din Sabzwari	Sufi saint		1779	exact	Rebuilt 1779		1276			Annual urs; qawwali and langar	DATE_SPLIT
Shrine of Shah Yusaf Gardez	shrine-of-shah-yusaf-gardez	Muslim Shrine	Dargah/Mazar	Active	Shah Yusuf Gardez	Sufi saint		1152	circa	Blue-and-white kashi tilework		1150			Annual urs	DATE_SPLIT
Shrine of Syed Musa Pak	shrine-of-syed-musa-pak	Muslim Shrine	Dargah/Mazar	Active	Syed Musa Pak Shaheed	Sufi saint	Qadiri	1592	circa	Seat of the Musa Pak Gilani sayyids					Annual urs; qawwali; langar	
Sial Sharif	sial-sharif	Muslim Shrine	Khanqah	Active	Khwaja Muhammad Shamsuddin Sialvi	Sufi saint	Chishti	1883	exact		1799	1883			Annual urs; naat and qawwali; daily langar	DATE_SPLIT
Swami Dharmdas Darbar, Larkana (Kennedy Market)	swami-dharmdas-darbar-larkana-kennedy-market	Nanakpanthi / Udasi Darbar	Temple	Active	Swami Dharmdas	Sant		1900	century	Late 19th-early 20th c.; uncertain					No events documented	CAT_CHANGED
Tilla Jogian	tilla-jogian	Hindu Temple	Complex	Ruin	Guru Gorakhnath (Nath yogis)	Sant			unknown	Founding legendary; abandoned 1947					None - abandoned since 1947	EVENTS_FILLED
Tomb of Allama Iqbal (Mazar-e-Iqbal)	mazar-e-iqbal	Muslim Shrine	Mausoleum/Memorial	Active	Allama Muhammad Iqbal	Historical person		1951	exact	Completed c. 1951	1877	1938			Iqbal Day (9 November); death anniversary (21 April); daily changing of the guard	DATE_SPLIT;EVENTS_FILLED
Tomb of Baha'al-Halim (Uch Sharif)	tomb-of-baha-al-halim-uch-sharif	Muslim Shrine	Mausoleum/Memorial	Active	Hazrat Baha'al-Halim	Sufi saint	Suhrawardi	1400	century	14th c., traditionally					Annual urs	
Tomb of Javindi Bibi	tomb-of-javindi-bibi	Muslim Shrine	Mausoleum/Memorial	Heritage	Bibi Jawindi	Historical person	Suhrawardi	1493	circa	Built c. 1493; largely collapsed in a 19th-c. flood. Sheet gave 1291 and named the wrong figure					Annual urs	FIGURE_MISMATCH;COORD_FIXED;DATE_CORRECTED
Tomb of Qutbuddin Aibak	tomb-of-qutbuddin-aibak	Secular / Memorial	Mausoleum/Memorial	Heritage	Sultan Qutb ud-Din Aibak	Historical person		1975	circa	Original 1210; present structure a 1970s reconstruction	1150	1210			None - heritage site, no devotional programme	CAT_CHANGED;EVENTS_FIXED;DATE_SPLIT
Tomb of Ustad Nuriya	tomb-of-ustad-nuriya	Secular / Memorial	Mausoleum/Memorial	Ruin	Ustad Nuriya	Historical person		1493	circa	Attributed to the builder of Bibi Jawindi's tomb					None - heritage site, no devotional programme	CAT_CHANGED;EVENTS_FIXED;NOTE_STRIPPED
Umarkot (Amarkot) Shiv Mandir	umarkot-amarkot-shiv-mandir	Hindu Temple	Temple	Active	Shiva (Mahadev)	Deity		1905	circa	Present structure c. early 1900s; site far older					Maha Shivratri (three-day festival)	EVENTS_FILLED
Valmik Mandir (Naqi Road)	valmik-mandir-naqi-road	Hindu Temple	Temple	Active	Valmiki (Bhagwan Valmik)	Deity			unknown	Heritage claims of great antiquity; unverified					Holi; Diwali; Valmiki Jayanti	EVENTS_FILLED
Valmiki Swamiji Mandir (Gracy Lines), Rawalpindi	valmiki-swamiji-mandir-gracy-lines-rawalpindi	Hindu Temple	Temple	Active	Valmiki (Bhagwan Valmik)	Deity		1935	exact						Diwali; Holi	
Wadpagga Sharif	wadpagga-sharif	Muslim Shrine	Dargah/Mazar	Active	Ghazi Syed Shah Fateh Muhammad Bukhari	Sufi saint	Suhrawardi	1550	century	16th c.					Annual urs	
Ziarat Kaka Sahib	ziarat-kaka-sahib	Muslim Shrine	Mausoleum/Memorial	Active	Syed Kasteer Gul (Kaka Sahib)	Sufi saint	Naqshbandi	1661	circa	Built by his son Sheikh Abdul Haleem	1575	1653			Annual urs; regular pilgrimage	DATE_SPLIT
